case_id,identity:id,concept:name,concept:instance,time:timestamp,org:role,org:resource,ai:message,ai:agent_id,ai:agent_name,ai:input_message,ai:input_tokens,ai:response_message,ai:response_thought,ai:response_tokens,ai:model,ai:system,ai:target_agent_id,ai:target_agent_name,ai:tool_id,ai:tool_name,ai:tool_arguments,ai:tool_response,duration
002f3890-c39f-469e-b83d-dc4b3af6190c,XvLEuBav9vo=,prompt,[User] prompt,2025-11-26T10:45:38.888,user,,[REDACTED],,,,,,,,,,,,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,+hTp5ehlvxk=,agent_start,[order_agent] starts,2025-11-26T10:45:38.891,agent,order_agent,,,,,,,,,,,,,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,AARATL89Yc8=,call_llm,[order_agent] calls LLM,2025-11-26T10:45:38.894,agent,order_agent,,order_agent,order_agent,,377.0,[REDACTED],,70.0,gpt-4.1-2025-04-14,,,,,,,,1175055900.0
002f3890-c39f-469e-b83d-dc4b3af6190c,+hTp5ehlvxk=,agent_finish,[order_agent] finishes,2025-11-26T10:45:40.072,agent,order_agent,,,,,,,,,,,,,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,JXye+S09HxA=,prompt,[User] prompt,2025-11-26T10:46:18.550,user,,[REDACTED],,,,,,,,,,,,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,u9Q3qj2d/m0=,agent_start,[order_agent] starts,2025-11-26T10:46:18.554,agent,order_agent,,,,,,,,,,,,,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,76dsezafXA8=,call_llm,[order_agent] calls LLM,2025-11-26T10:46:18.556,agent,order_agent,,order_agent,order_agent,,474.0,,,14.0,gpt-4.1-2025-04-14,,,,,,,,640951600.0
002f3890-c39f-469e-b83d-dc4b3af6190c,cSOhVOvh29Q=,transfer_to_agent,[order_agent] transfers to customer service_agent,2025-11-26T10:46:19.200,agent,order_agent,,order_agent,order_agent,,,,,,,,customer_service_agent,customer_service_agent,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,u9Q3qj2d/m0=,agent_finish,[order_agent] finishes,2025-11-26T10:46:19.214,agent,order_agent,,,,,,,,,,,,,,,,,0.0
002f3890-c39f-469e-b83d-dc4b3af6190c,esxhgnXBAaQ=,agent_start,[customer_service_agent] starts,2025-11-26T10:46:19.217,agent,customer_service_agent,,,,,,,,,,,,,,,,,0.0
